,symbol,description,asset_type,main_type
160,SLYG,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 Growth Index --symb,ETF,EQUITY
161,SLYV,SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap Value Index--symbol--CVK,ETF,EQUITY
162,SDY,SPDR S&P Dividend ETF,ETF,EQUITY
163,GMF,SPDR S&P Emerging Asia Pacific ETF,ETF,EQUITY
164,WDIV,SPDR S&P Global Dividend,ETF,EQUITY
165,DWX,SPDR S&P International Dividend ETF,ETF,EQUITY
166,GWX,SPDR S&P International SmallCap ETF,ETF,EQUITY
167,MDY,SPDR MidCap Trust Series I,ETF,EQUITY
168,HYD,VanEck Vectors High Yield Municipal Index ETF,ETF,EQUITY
169,EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,ETF,EQUITY
170,SHYD,VanEck Vectors Short High-Yield Municipal Index ETF,ETF,EQUITY
171,VIG,Vanguard Div Appreciation ETF,ETF,EQUITY
172,EDV,Vanguard Extended Duration Treasury ETF,ETF,EQUITY
173,VXF,Vanguard Extended Market ETF,ETF,EQUITY
174,VEU,Vanguard FTSE All World Ex US ETF,ETF,EQUITY
175,VWO,Vanguard FTSE Emerging Markets ETF,ETF,EQUITY
176,VGK,Vanguard FTSEEuropean ETF,ETF,EQUITY
177,VEA,Vanguard FTSE Developed Markets ETF,ETF,EQUITY
178,VPL,Vanguard FTSE Pacific ETF,ETF,EQUITY
179,VYM,Vanguard High Dividend Yield ETF,ETF,EQUITY
180,VGIT,Vanguard Intermediate-Term Treasury ETF,ETF,EQUITY
181,VV,Vanguard Large-Cap ETF,ETF,EQUITY
182,BLV,Vanguard Long-Term Bond ETF,ETF,EQUITY
183,VGLT,Vanguard Long-Treasury ETF,ETF,EQUITY
184,VO,Vanguard Mid-Cap ETF,ETF,EQUITY
185,VOT,Vanguard Mid-Cap Growth ETF,ETF,EQUITY
186,VOE,Vanguard Mid-Cap Value ETF,ETF,EQUITY
187,VTWO,Vanguard Russell 2000 ETF,ETF,EQUITY
188,VOO,Vanguard S&P 500 ETF,ETF,EQUITY
189,VOOV,Vanguard S&P 500 Value ETF,ETF,EQUITY
190,IVOO,Vanguard S&P Mid-Cap 400 ETF,ETF,EQUITY
191,IVOG,Vanguard S&P Mid-Cap 400 Growth ETF,ETF,EQUITY
192,VIOO,Vanguard S&P Small-Cap 600 ETF,ETF,EQUITY
193,BSV,Vanguard Short-Term Bond ETF,ETF,EQUITY
194,VGSH,Vanguard Short-Term Treasury ETF,ETF,EQUITY
195,VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,ETF,EQUITY
196,VB,Vanguard Small-Cap ETF,ETF,EQUITY
197,VBK,Vanguard Small-Cap Growth ETF,ETF,EQUITY
198,VBR,Vanguard Small-Cap Value ETF,ETF,EQUITY
199,BND,Vanguard Total Bond Market ETF,ETF,EQUITY
200,BNDX,Vanguard Total International Bond ETF,ETF,EQUITY
201,VXUS,Vanguard Total International Stock ETF,ETF,EQUITY
202,VTI,Vanguard Total Stock Market ETF,ETF,EQUITY
203,BNDW,Vanguard Total World Bond ETF,ETF,EQUITY
204,VT,Vanguard Total World Stock Index ETF,ETF,EQUITY
205,VFLQ,Vanguard U.S. Liquidity Factor ETF,ETF,EQUITY
206,VFMO,Vanguard U.S. Momentum Factor ETF,ETF,EQUITY
207,VFMF,Vanguard U.S. Multifactor ETF,ETF,EQUITY
208,VFQY,Vanguard U.S. Quality Factor ETF,ETF,EQUITY
209,VFVA,Vanguard U.S. Value Factor ETF,ETF,EQUITY
210,VTV,Vanguard Value ETF,ETF,EQUITY
211,RESE,WisdomTree Emerging Markets ESG Fund,ETF,EQUITY
212,DEM,WisdomTree Emerging Markets High Dividend Fund,ETF,EQUITY
213,DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ETF,EQUITY
214,DON,WisdomTree U.S. MidCap Dividend Fund,ETF,EQUITY
215,DES,WisdomTree U.S. SmallCap Dividend Fund,ETF,EQUITY
