symbol,description,asset_type,main_type,quantity,target
DON,WisdomTree U.S. MidCap Dividend Fund,ETF,EQUITY,0,0
DES,WisdomTree U.S. SmallCap Dividend Fund,ETF,EQUITY,0,0
IWO,iShares Russell 2000 Growth ETF,ETF,EQUITY,0,0
SPY,SPDR S&P 500,ETF,EQUITY,0,0
QUS,SPDR MSCI USA StrategicFactors ETF,ETF,EQUITY,0,0
GVAL,Cambria Global Value ETF,ETF,EQUITY,0,0
IEUR,iShares Core MSCI Europe ETF,ETF,EQUITY,0,0
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,ETF,EQUITY,0,0
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,ETF,EQUITY,0,0
FCOR,Fidelity Corporate Bond ETF,ETF,EQUITY,0,0
FLTB,Fidelity Limited Term Bond ETF,ETF,EQUITY,0,0
FDLO,Fidelity Low Volatility Factor ETF,ETF,EQUITY,0,0
FBND,Fidelity Total Bond ETF,ETF,EQUITY,0,0
FTC,First Trust Large Cap Growth AlphaDEX Fund,ETF,EQUITY,0,0
GEM,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,ETF,EQUITY,0,0
RSP,Invesco S&P 500 Equal Weight ETF,ETF,EQUITY,0,0
RPG,Invesco S&P 500 Pure Growth ETF,ETF,EQUITY,0,0
BSCP,Invesco BulletShares 2025 Corporate Bond ETF,ETF,EQUITY,0,0
BSCR,Invesco BulletShares 2027 Corporate Bond ETF,ETF,EQUITY,0,0
BSCS,Invesco BulletShares 2028 Corporate Bond ETF,ETF,EQUITY,0,0
PIE,Invesco DWA Emerging Markets Momentum ETF,ETF,EQUITY,0,0
PCY,Invesco Emerging Markets Sovereign Debt ETF,ETF,EQUITY,0,0
PXF,Invesco FTSE RAFI Developed Markets ex-U.S. ETF,ETF,EQUITY,0,0
EQAL,Invesco Russell 1000 Equal Weight ETF,ETF,EQUITY,0,0
SPLV,Invesco S&P 500 Low Volatility ETF,ETF,EQUITY,0,0
FLOT,iShares Floating Rate Bond ETF,ETF,EQUITY,0,0
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,ETF,EQUITY,0,0
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,ETF,EQUITY,0,0
STIP,iShares 0-5 Year TIPS Bond ETF,ETF,EQUITY,0,0
TLH,iShares 10-20 Year Treasury Bond ETF,ETF,EQUITY,0,0
SHY,iShares 1-3 Year Treasury Bond ETF,ETF,EQUITY,0,0
EFV,iShares MSCI EAFE Value ETF,ETF,EQUITY,0,0
SPYV,SPDR Series Trust SPDR Portfolio S&P 500 Value ETF,ETF,EQUITY,0,0
SLYG,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 Growth Index --symb,ETF,EQUITY,0,0
SLYV,SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap Value Index--symbol--CVK,ETF,EQUITY,0,0
SDY,SPDR S&P Dividend ETF,ETF,EQUITY,0,0
GMF,SPDR S&P Emerging Asia Pacific ETF,ETF,EQUITY,0,0
WDIV,SPDR S&P Global Dividend,ETF,EQUITY,0,0
DWX,SPDR S&P International Dividend ETF,ETF,EQUITY,0,0
GWX,SPDR S&P International SmallCap ETF,ETF,EQUITY,0,0
MDY,SPDR MidCap Trust Series I,ETF,EQUITY,0,0
HYD,VanEck Vectors High Yield Municipal Index ETF,ETF,EQUITY,0,0
EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,ETF,EQUITY,0,0
SHYD,VanEck Vectors Short High-Yield Municipal Index ETF,ETF,EQUITY,0,0
VIG,Vanguard Div Appreciation ETF,ETF,EQUITY,0,0
EDV,Vanguard Extended Duration Treasury ETF,ETF,EQUITY,0,0
VXF,Vanguard Extended Market ETF,ETF,EQUITY,0,0
VEU,Vanguard FTSE All World Ex US ETF,ETF,EQUITY,0,0
